ID,Title,Start,End,Commentaire,BackgroundColor
C_15412_66_3_0,ACCUEIL (Le Franc),2024-08-19T08:00:00,2024-08-19T09:35:00,"Groupe : SIG1, Module : SI130 - BRIT1 - Branches instrumentales 1","rgb(112,117,143)"
C_10057_43_2_1,MARK (Bruyndonckx),2024-08-19T09:50:00,2024-08-19T11:25:00,"Groupe : SIG1-inf, Module : SI110 - CGES - Compléments de gestion <br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(112,117,143)"
C_10063_3_7_2,TSYS (Bron),2024-08-20T08:00:00,2024-08-20T09:35:00,"Groupe : SIG1, Module : SI120 - INGP - Ingénierie Plateformes<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(112,117,143)"
C_10064_66_3_3,MATH (Le Franc),2024-08-20T09:50:00,2024-08-20T11:25:00,"Groupe : SIG1, Module : SI130 - BRIT1 - Branches instrumentales 1<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(112,117,143)"
C_10050_158_2_4,BECO (Barbafieri),2024-08-20T13:10:00,2024-08-20T16:35:00,"Groupe : SIG1-inf, Module : SI110 - CGES - Compléments de gestion <br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(112,117,143)"
C_10054_66_5_5,STAT (Le Franc),2024-08-21T08:00:00,2024-08-21T10:35:00,"Groupe : SIG1, Module : SI111 - OGEN - Outils pour la gestion d""entreprise<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(112,117,143)"
C_10062_43_5_6,RTAB (Bruyndonckx),2024-08-21T10:40:00,2024-08-21T12:15:00,"Groupe : SIG1, Module : SI111 - OGEN - Outils pour la gestion d""entreprise<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(112,117,143)"
C_10052_43_2_7,CPTA (Bruyndonckx),2024-08-21T13:10:00,2024-08-21T14:45:00,"Groupe : SIG1-inf, Module : SI110 - CGES - Compléments de gestion <br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(112,117,143)"
C_15413_43_2_8,MARK (Bruyndonckx),2024-08-21T15:00:00,2024-08-21T16:35:00,"Groupe : SIG1-inf, Module : SI110 - CGES - Compléments de gestion","rgb(112,117,143)"
C_10060_66_3_9,MATH (Le Franc),2024-08-22T10:40:00,2024-08-22T12:15:00,"Groupe : SIG1, Module : SI130 - BRIT1 - Branches instrumentales 1<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(112,117,143)"
C_10065_66_3_10,REMA (Le Franc),2024-08-22T13:10:00,2024-08-22T14:45:00,"Groupe : SIG1, Module : SI130 - BRIT1 - Branches instrumentales 1<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(112,117,143)"
C_10053_43_3_11,COMM (Bruyndonckx),2024-08-23T10:40:00,2024-08-23T12:15:00,"Groupe : SIG1, Module : SI130 - BRIT1 - Branches instrumentales 1<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(112,117,143)"
C_10058_43_2_12,CPTA (Bruyndonckx),2024-08-23T13:10:00,2024-08-23T16:35:00,"Groupe : SIG1-inf, Module : SI110 - CGES - Compléments de gestion <br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(112,117,143)"
C_10077_43_2_13,MARK (Bruyndonckx) - ETML-S303,2024-08-26T08:00:00,2024-08-26T11:25:00,"Groupe : SIG1-inf, Module : SI110 - CGES - Compléments de gestion <br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(112,117,143)"
